#LOCALTIME 8
StationID,DATETIME,TMEAN,TMAX,TMIN,RM,WS,SSD
58911,2012-01-01 20:00:00,10.0 ,13.6 ,7.8 ,76 ,1.2 ,1.2
58911,2012-01-02 20:00:00,10.6 ,15.7 ,7.0 ,73 ,0.7 ,1.5
58911,2012-01-03 20:00:00,7.1 ,12.0 ,4.6 ,89 ,1.6 ,0.0
58911,2012-01-04 20:00:00,3.9 ,6.6 ,2.5 ,78 ,1.7 ,0.0
58911,2012-01-05 20:00:00,2.8 ,3.9 ,1.9 ,91 ,1.4 ,0.0
58911,2012-01-06 20:00:00,4.1 ,5.5 ,3.1 ,91 ,2.0 ,0.0
58911,2012-01-07 20:00:00,5.3 ,7.0 ,4.5 ,87 ,1.8 ,0.0
58911,2012-01-08 20:00:00,6.2 ,8.7 ,5.3 ,87 ,1.6 ,0.0
58911,2012-01-09 20:00:00,7.1 ,9.2 ,5.7 ,83 ,2.1 ,0.0
58911,2012-01-10 20:00:00,8.7 ,10.7 ,7.1 ,81 ,1.5 ,0.0
58911,2012-01-11 20:00:00,9.6 ,12.9 ,7.7 ,78 ,1.4 ,2.0
58911,2012-01-12 20:00:00,8.9 ,12.0 ,6.9 ,85 ,1.2 ,0.0
58911,2012-01-13 20:00:00,11.2 ,13.3 ,9.4 ,95 ,0.6 ,0.0
58911,2012-01-14 20:00:00,12.0 ,14.0 ,11.3 ,96 ,1.5 ,0.0
58911,2012-01-15 20:00:00,8.1 ,11.3 ,7.3 ,93 ,1.7 ,0.0
58911,2012-01-16 20:00:00,7.5 ,9.6 ,6.0 ,83 ,1.7 ,0.0
58911,2012-01-17 20:00:00,8.6 ,11.4 ,8.0 ,85 ,0.8 ,0.0
58911,2012-01-18 20:00:00,10.8 ,20.4 ,6.2 ,85 ,1.3 ,2.8
58911,2012-01-19 20:00:00,9.0 ,11.0 ,8.2 ,87 ,1.4 ,0.0
58911,2012-01-20 20:00:00,8.2 ,10.4 ,7.0 ,88 ,1.6 ,0.0
58911,2012-01-21 20:00:00,7.1 ,8.2 ,6.2 ,89 ,1.6 ,0.0
58911,2012-01-22 20:00:00,3.3 ,6.2 ,2.2 ,88 ,2.1 ,0.0
58911,2012-01-23 20:00:00,2.3 ,3.1 ,1.4 ,87 ,2.2 ,0.0
58911,2012-01-24 20:00:00,2.3 ,3.0 ,1.5 ,86 ,1.9 ,0.0
58911,2012-01-25 20:00:00,1.4 ,3.0 ,0.0 ,82 ,1.5 ,0.0
58911,2012-01-26 20:00:00,4.3 ,6.5 ,1.8 ,88 ,0.8 ,0.0
58911,2012-01-27 20:00:00,7.8 ,10.4 ,5.4 ,93 ,0.6 ,0.0
58911,2012-01-28 20:00:00,8.5 ,9.9 ,6.9 ,88 ,1.9 ,0.0
58911,2012-01-29 20:00:00,6.7 ,8.2 ,5.5 ,81 ,2.0 ,0.0
58911,2012-01-30 20:00:00,7.3 ,9.9 ,5.7 ,77 ,1.6 ,0.0
58911,2012-01-31 20:00:00,6.8 ,12.7 ,4.4 ,73 ,2.2 ,5.2
